short_hash	date	author	type	scope	breaking	subject	files_changed	insertions	deletions	tags	branches	remotes	reachable	reflog_only
419a890	2025-08-20T02:36:07+08:00	pot	other		no	Fix iOS Safari bu  on s yling wi h dialog- ransparen -bu  on CSS class	3	63	14		main;params-lock-7ec8266;	origin/HEAD;origin/main;	yes	no
7eed6f8	2025-08-20T02:09:44+08:00	pot	other		no	FINAL FIX: Remove conflic ing CSS padding rules  ha  broke bu  on s yling	4	1443	61		main;params-lock-7ec8266;	origin/HEAD;origin/main;	yes	no
2b6e2ec	2025-08-20T01:15:26+08:00	pot	other		no	Ul ima e fix for iOS Conversa ionDrawer bu  on issues: Perfec  circles and  ransparen  backgrounds	3	8	6		main;params-lock-7ec8266;	origin/HEAD;origin/main;	yes	no
9ab5d72	2025-08-20T01:08:52+08:00	pot	other		no	Op imize Conversa ionDrawer: Merge DarkInpu Bar design wi h iOS compa ibili y	2	1	1		main;params-lock-7ec8266;	origin/HEAD;origin/main;	yes	no
0a965e0	2025-08-20T01:06:23+08:00	pot	other		no	Add code-fine and diff commands, prepare for conversa ion drawer fixes	18	30202	53		main;params-lock-7ec8266;	origin/HEAD;origin/main;	yes	no
a8474f7	2025-08-18T23:44:45+08:00	pot	other		no	Fix Conversa ionDrawer inpu  bar  ransparen  background - Phase 1	1	2	2		main;params-lock-7ec8266;	origin/HEAD;origin/main;	yes	no
092036c	2025-08-18T22:56:10+08:00	pot	other		no	Fix iOS S arCard alignmen  issues wi h Safari-specific op imiza ions	1	96	0		main;params-lock-7ec8266;	origin/HEAD;origin/main;	yes	no
9d0a923	2025-08-17T20:18:42+08:00	pot	other		no	Fix S arCard layou  alignmen  issues	1	65	1031		main;params-lock-7ec8266;	origin/HEAD;origin/main;	yes	no
d8f18b0	2025-08-17T15:32:51+08:00	pot	other		no	重新安装依赖之前 为了使用capaci or ex ernal	47	72404	287		main;params-lock-7ec8266;	origin/HEAD;origin/main;	yes	no
994e555	2025-08-17T14:17:36+08:00	pot	other		no	Implemen  dark inpu  bar design for Conversa ionDrawer	2	279	122		main;params-lock-7ec8266;	origin/HEAD;origin/main;	yes	no
e73ca84	2025-08-17T02:25:21+08:00	pot	other		no	Fix Xcode compa ibili y issues and upda e dependencies	1	16881	0		main;params-lock-7ec8266;	origin/HEAD;origin/main;	yes	no
bc61bd3	2025-08-17T02:01:17+08:00	pot	other		no	Save projec  s a e before fixing Xcode compa ibili y issues	2	9868	664		main;params-lock-7ec8266;	origin/HEAD;origin/main;	yes	no
